name,release_date,price,developers,categories,genres,pct_pos_total,pct_pos_recent,num_reviews_total
Papa's Freezeria Deluxe,2023-03-31,5.99,['Flipline Studios'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",Action,99,97,10014
HoloCure - Save the Fans!,2023-08-16,0.0,['KayAnimate'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",Action,99,98,37057
Bomb Rush Cyberfunk,2023-08-18,39.99,['Team Reptile'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action,98,98,11134
Half-Life: Alyx,2020-03-23,59.99,['Valve'],"['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Captions available', 'VR Support', 'Steam Workshop', 'Includes level editor', 'Family Sharing']",Action,98,96,83881
Pizza Tower,2023-01-26,19.99,['Tour De Pizza'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action,98,98,59430
Katana ZERO,2019-04-18,14.99,['Askiisoft'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,98,97,61243
One Finger Death Punch,2014-03-03,4.99,['Silver Dollar Games'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards', 'Family Sharing']",Action,98,92,12500
Vampire Survivors,2022-10-20,4.99,['poncle'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action,98,96,234756
People Playground,2019-07-23,9.99,['mestiez'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']",Action,98,97,258453
Neon White,2022-06-16,24.99,['Angel Matrix'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Action,98,94,14409
Hades,2020-09-17,24.99,['Supergiant Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,98,96,255511
Split Fiction,2025-03-06,49.99,['Hazelight Studios'],"['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play Together', 'HDR available', 'Family Sharing']",Action,98,-1,17370
VTOL VR,2017-08-03,29.99,"['Boundless Dynamics, LLC']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Tracked Controller Support', 'VR Only', 'Steam Workshop', 'Includes level editor', 'Family Sharing']",Action,98,97,17135
Terraria,2011-05-16,9.99,['Re-Logic'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,96,1102434
Iron Snout,2016-01-27,0.0,['SnoutUp'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",Action,97,93,17325
Outcore: Desktop Adventure,2022-09-26,0.0,['Doctor Shinobi'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",Action,97,95,14689
Deep Rock Galactic,2020-05-13,29.99,['Ghost Ship Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,96,267655
Wobbly Life,2020-07-08,17.99,['RubberBandGames'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Action,97,96,23659
Hollow Knight,2017-02-24,14.99,['Team Cherry'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,95,357036
The Binding of Isaac: Rebirth,2014-11-04,14.99,"['Nicalis, Inc.', 'Edmund McMillen']","['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,97,95,301745
Duck Game,2015-06-04,12.99,['Landon Podbielski'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,97,97,24773
MADNESS: Project Nexus,2021-09-29,24.99,"['GIBBING TREE, LLC']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action,97,98,14079
Pseudoregalia,2023-07-28,5.99,['rittzler'],"['Single-player', 'Full controller support', 'Family Sharing']",Action,97,95,12943
The Wolf Among Us,2013-10-11,14.99,['Telltale'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Family Sharing']",Action,97,97,28474
Touhou Luna Nights,2019-02-25,17.99,"['Team Ladybug', 'WSS playground']","['Single-player', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Action,97,94,12814
SANABI,2023-11-08,14.99,['WONDER POTION'],"['Single-player', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Action,97,96,31971
"Hot Dogs, Horseshoes & Hand Grenades",2016-04-05,19.99,['RUST LTD.'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'VR Support', 'Family Sharing']",Action,97,96,20710
DUSK,2018-12-10,6.79,['David Szymanski'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']",Action,97,93,20039
Just Shapes & Beats,2018-05-31,19.99,['Berzerk Studio'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,97,97,19396
ATLYSS,2024-11-22,9.99,['Kiseff'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Family Sharing']",Action,97,94,12372
Webbed,2021-09-09,9.99,['Sbug Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action,97,95,12399
Eternal Senia,2015-06-18,0.0,['Sanctum Games'],['Single-player'],Action,97,100,11936
Lethal Company,2023-10-23,9.99,['Zeekerss'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Family Sharing']",Action,97,95,387146
Cruelty Squad,2021-06-15,19.99,['Consumer Softproducts'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",Action,97,93,18617
Broforce,2015-10-15,14.99,['Free Lives'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,97,94,47504
BattleBlock Theater®,2014-05-15,14.99,['The Behemoth'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,97,91,54440
South Park™: The Stick of Truth™,2014-03-03,7.49,['Obsidian Entertainment'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,97,54919
Ravenfield,2017-05-18,17.99,['SteelRaven7'],"['Single-player', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor', 'Family Sharing']",Action,97,96,68935
Dishonored,2012-10-08,9.99,['Arkane Studios'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,98,61900
The Expendabros,2014-08-05,0.0,['Free Lives'],"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action,97,94,18162
Celeste,2018-01-25,19.99,"['Maddy Makes Games Inc.', 'Extremely OK Games, Ltd.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,95,104318
ULTRAKILL,2020-09-03,24.99,"['Arsi ""Hakita"" Patala']","['Single-player', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action,97,96,138009
Hotline Miami,2012-10-23,9.99,['Dennaton Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Action,97,95,87594
Gunpoint,2013-06-03,9.99,['Suspicious Developments'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Action,97,93,10024
Crime Scene Cleaner,2024-08-14,15.99,['President Studio'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action,97,98,18336
Dead Cells,2018-08-06,12.49,['Motion Twin'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,95,140784
Mount & Blade: Warband,2010-03-31,19.99,['TaleWorlds Entertainment'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing']",Action,97,97,130020
Resident Evil 4,2023-03-23,39.99,"['CAPCOM Co., Ltd.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']",Action,97,97,110334
Super Hexagon,2012-11-27,2.99,['Terry Cavanagh'],"['Single-player', 'Full controller support', 'Family Sharing']",Action,97,100,17892
Slime Rancher,2017-08-01,19.99,['Monomi Park'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,97,98,119965
Resident Evil 2,2019-01-24,39.99,"['CAPCOM Co., Ltd.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available', 'Family Sharing']",Action,97,96,115176
Phasmophobia,2020-09-18,19.99,['Kinetic Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Action,96,95,616505
Black Myth: Wukong,2024-08-19,59.99,['Game Science'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action,96,94,825621
Blade and Sorcery,2024-06-17,29.99,['WarpFrog'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']",Action,96,92,53791
Counter-Strike: Source,2004-11-01,9.99,['Valve'],"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Family Sharing']",Action,96,94,124438
Ori and the Will of the Wisps,2020-03-10,29.99,['Moon Studios GmbH'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available', 'Family Sharing']",Action,96,92,125180
Cuphead,2017-09-29,19.99,['Studio MDHR Entertainment Inc.'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,96,95,160447
God of War,2022-01-14,49.99,"['Santa Monica Studio', 'Jetpack Interactive']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Action,96,92,107989
Streets of Rogue,2019-07-12,19.99,['Matt Dabrowski'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,96,88,16184
Ultimate Chicken Horse,2016-03-04,14.99,['Clever Endeavour Games'],"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,96,93,35826
Superflight,2017-11-08,2.99,['GrizzlyGames'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards', 'Family Sharing']",Action,96,94,10680
Paint the Town Red,2021-07-29,19.99,['South East Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Family Sharing']",Action,96,96,26164
INSIDE,2016-07-07,19.99,['Playdead'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action,96,97,60215
My Friend Pedro,2019-06-20,19.99,['DeadToast Entertainment'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,96,93,23468
Supraland,2019-04-05,5.99,['Supra Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action,96,93,10159
LIZARDS MUST DIE,2023-09-27,2.99,['the Bratans'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Family Sharing']",Action,96,92,22879
METAL GEAR RISING: REVENGEANCE,2014-01-09,29.99,['PlatinumGames'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action,96,95,63745
FIVE NIGHTS AT FREDDY'S: HELP WANTED,2019-05-28,29.99,['Steel Wool Studios'],"['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Family Sharing']",Action,96,95,11531
POSTAL 2,2012-11-02,9.99,['Running With Scissors'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",Action,96,97,95816
Castle Crashers®,2012-09-26,14.99,['The Behemoth'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,96,94,95195
Life is Strange - Episode 1,2015-01-29,0.0,"['DONTNOD Entertainment', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,96,95,168389
SIGNALIS,2022-10-27,13.99,['rose-engine'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action,96,96,22028
DOOM + DOOM II,2007-08-03,9.99,"['id Software', 'Nightdive Studios']","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action,96,92,20821
Abiotic Factor,2024-05-02,24.99,['Deep Field Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']",Action,96,96,20647
Clone Drone in the Danger Zone,2021-07-27,19.99,['Doborog Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",Action,96,95,29230
Outlast,2013-09-04,19.99,['Red Barrels'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Action,96,95,91307
Devil May Cry 5,2019-03-07,29.99,"['CAPCOM Co., Ltd.']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'HDR available', 'Family Sharing']",Action,96,96,91691
Tomb Raider,2013-03-04,14.99,"['Crystal Dynamics', 'Eidos-Montréal', 'Feral Interactive (Mac)', 'Nixxes']","['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,96,95,153257
Brotato,2023-06-23,2.99,['Blobfish'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,96,94,89284
Retrowave,2022-05-06,1.49,['RewindApp'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Action,96,93,13544
Buckshot Roulette,2024-04-04,2.99,['Mike Klubnika'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards', 'Family Sharing']",Action,96,93,78259
R.E.P.O.,2025-02-26,9.99,['semiwork'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Cloud', 'Family Sharing']",Action,96,-1,19734
Awaria,2024-12-16,0.0,['vanripper'],"['Single-player', 'Steam Achievements', 'Partial Controller Support']",Action,96,96,12313
Nuclear Throne,2015-12-05,11.99,['Vlambeer'],"['Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,96,88,13413
Thronefall,2024-10-11,12.99,['GrizzlyGames'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Action,96,94,19369
Metal: Hellsinger,2022-09-15,29.99,['The Outsiders'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Action,96,94,12766
Your Only Move Is HUSTLE,2023-02-02,4.99,['Ivy Sly'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Family Sharing']",Action,96,95,25463
Detroit: Become Human,2020-06-18,11.99,['Quantic Dream'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Action,95,97,135507
Everhood,2021-03-04,9.99,"['Chris Nordgren', 'Jordi Roca']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action,95,94,10709
Untitled Goose Game,2020-09-23,19.99,['House House'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,95,95,19446
DR LIVESEY ROM AND DEATH EDITION,2023-02-13,0.49,['Agafonoff'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Family Sharing']",Action,95,87,11902
Teardown,2022-04-21,29.99,['Tuxedo Labs'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']",Action,95,94,98846
Don't Starve Together,2016-04-21,14.99,['Klei Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,95,81,335405
ROUNDS,2021-04-01,5.99,['Landfall'],"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Partial Controller Support', 'Remote Play Together', 'Family Sharing']",Action,95,96,28151
Cult of the Lamb,2022-08-11,24.99,['Massive Monster'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action,95,96,86234
ENDER MAGNOLIA: Bloom in the Mist,2025-01-22,24.99,"['Adglobe', 'Live Wire']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action,95,96,10416
It Takes Two Friend's Pass,2021-05-25,0.0,['Hazelight Studio'],"['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support']",Action,95,96,173876
It Takes Two,2021-03-25,39.99,['Hazelight Studios'],"['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']",Action,95,96,173877
The Talos Principle,2014-12-11,29.99,['Croteam'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on TV', 'Family Sharing']",Action,95,92,27920
Ori and the Blind Forest: Definitive Edition,2016-04-27,3.99,['Moon Studios GmbH'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,95,92,57747
A Short Hike,2019-07-30,7.99,['adamgryu'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Adventure,99,97,15537
HoloCure - Save the Fans!,2023-08-16,0.0,['KayAnimate'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",Adventure,99,98,37057
MiSide,2024-12-10,14.99,['AIHASTO'],"['Single-player', 'Steam Achievements', 'Family Sharing']",Adventure,98,97,90341
Bomb Rush Cyberfunk,2023-08-18,39.99,['Team Reptile'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Adventure,98,98,11134
Half-Life: Alyx,2020-03-23,59.99,['Valve'],"['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Only', 'Captions available', 'VR Support', 'Steam Workshop', 'Includes level editor', 'Family Sharing']",Adventure,98,96,83881
OneShot,2016-12-08,9.99,['Future Cat LLC'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Adventure,98,98,46183
Chants of Sennaar,2023-09-05,19.99,['Rundisc'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Adventure,98,97,18882
Sheepy: A Short Adventure,2024-02-06,0.0,['MrSuicideSheep'],"['Single-player', 'Steam Achievements', 'Full controller support']",Adventure,98,98,15935
ATRI -My Dear Moments-,2020-06-18,10.49,"['Frontwing', '枕']","['Single-player', 'Steam Trading Cards', 'Family Sharing']",Adventure,98,97,19102
The Room 4: Old Sins,2021-02-11,8.99,['Fireproof Games'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Adventure,98,97,15427
Senren＊Banka,2020-02-14,19.94,['YUZUSOFT'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Adventure,98,99,27223
Grimm's Hollow,2019-10-30,0.0,['ghosthunter'],"['Single-player', 'Partial Controller Support', 'Steam Cloud']",Adventure,98,96,13724
Neon White,2022-06-16,24.99,['Angel Matrix'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']",Adventure,98,94,14409
